char	unicode	big5	category	dfs_code	compat_class	slot_source	t2s	note
，	U+FF0C	A141	fullwidth	$01E2	base-exact	base-compatible	，	
、	U+3001	A142	punctuation	$0102	base-exact	base-compatible	、	
。	U+3002	A143	punctuation	$0103	base-exact	base-compatible	。	
．	U+FF0E	A144	fullwidth	$01E4	base-exact	base-compatible	．	
；	U+FF1B	A146	fullwidth	$01F1	base-exact	base-compatible	；	
：	U+FF1A	A147	fullwidth	$01F0	base-exact	base-compatible	：	
？	U+FF1F	A148	fullwidth	$01F5	base-exact	base-compatible	？	
！	U+FF01	A149	fullwidth	$01D7	base-exact	base-compatible	！	
…	U+2026	A14B	punctuation	$010D	base-exact	base-compatible	…	
·	U+00B7	A150	punctuation	$0104	base-exact	base-compatible	·	
｜	U+FF5C	A155	fullwidth	$023A	base-exact	base-compatible	｜	
︱	U+FE31	A157	punctuation	$037E	base-exact	base-compatible	︱	
—	U+2014	A158	punctuation	$010A	base-exact	base-compatible	—	
︳	U+FE33	A159	punctuation	$0380	base-exact	base-compatible	︳	
︴	U+FE34	A15B	punctuation	$0381	base-exact	base-compatible	︴	
（	U+FF08	A15D	fullwidth	$01DE	base-exact	base-compatible	（	
）	U+FF09	A15E	fullwidth	$01DF	base-exact	base-compatible	）	
︵	U+FE35	A15F	punctuation	$036C	base-exact	base-compatible	︵	
︶	U+FE36	A160	punctuation	$036D	base-exact	base-compatible	︶	
｛	U+FF5B	A161	fullwidth	$0239	base-exact	base-compatible	｛	
｝	U+FF5D	A162	fullwidth	$023B	base-exact	base-compatible	｝	
︷	U+FE37	A163	punctuation	$037C	base-exact	base-compatible	︷	
︸	U+FE38	A164	punctuation	$037D	base-exact	base-compatible	︸	
〔	U+3014	A165	punctuation	$0112	base-exact	base-compatible	〔	
〕	U+3015	A166	punctuation	$0113	base-exact	base-compatible	〕	
︹	U+FE39	A167	punctuation	$036E	base-exact	base-compatible	︹	
︺	U+FE3A	A168	punctuation	$036F	base-exact	base-compatible	︺	
【	U+3010	A169	punctuation	$0121	base-exact	base-compatible	【	
】	U+3011	A16A	punctuation	$0123	base-exact	base-compatible	】	
︻	U+FE3B	A16B	punctuation	$037A	base-exact	base-compatible	︻	
︼	U+FE3C	A16C	punctuation	$037B	base-exact	base-compatible	︼	
《	U+300A	A16D	punctuation	$0119	base-exact	base-compatible	《	
》	U+300B	A16E	punctuation	$011A	base-exact	base-compatible	》	
︽	U+FE3D	A16F	punctuation	$0372	base-exact	base-compatible	︽	
︾	U+FE3E	A170	punctuation	$0373	base-exact	base-compatible	︾	
〈	U+3008	A171	punctuation	$0117	base-exact	base-compatible	〈	
〉	U+3009	A172	punctuation	$0118	base-exact	base-compatible	〉	
︿	U+FE3F	A173	punctuation	$0370	base-exact	base-compatible	︿	
﹀	U+FE40	A174	punctuation	$0371	base-exact	base-compatible	﹀	
「	U+300C	A175	punctuation	$011B	base-exact	base-compatible	「	
」	U+300D	A176	punctuation	$011C	base-exact	base-compatible	」	
﹁	U+FE41	A177	punctuation	$0374	base-exact	base-compatible	﹁	
﹂	U+FE42	A178	punctuation	$0375	base-exact	base-compatible	﹂	
『	U+300E	A179	punctuation	$011D	base-exact	base-compatible	『	
』	U+300F	A17A	punctuation	$011E	base-exact	base-compatible	』	
﹃	U+FE43	A17B	punctuation	$0376	base-exact	base-compatible	﹃	
﹄	U+FE44	A17C	punctuation	$0377	base-exact	base-compatible	﹄	
‘	U+2018	A1A5	punctuation	$010E	base-exact	base-compatible	‘	
’	U+2019	A1A6	punctuation	$010F	base-exact	base-compatible	’	
“	U+201C	A1A7	punctuation	$0110	base-exact	base-compatible	“	
”	U+201D	A1A8	punctuation	$0111	base-exact	base-compatible	”	
＃	U+FF03	A1AD	fullwidth	$01D9	base-exact	base-compatible	＃	
＆	U+FF06	A1AE	fullwidth	$01DC	base-exact	base-compatible	＆	
＊	U+FF0A	A1AF	fullwidth	$01E0	base-exact	base-compatible	＊	
※	U+203B	A1B0	punctuation	$0173	base-exact	base-compatible	※	
§	U+00A7	A1B1	punctuation	$0166	base-exact	base-compatible	§	
〃	U+3003	A1B2	punctuation	$0108	base-exact	base-compatible	〃	
○	U+25CB	A1B3	symbol	$016A	base-exact	base-compatible	○	
●	U+25CF	A1B4	symbol	$016B	base-exact	base-compatible	●	
△	U+25B3	A1B5	symbol	$0171	base-exact	base-compatible	△	
◎	U+25CE	A1B7	symbol	$016C	base-exact	base-compatible	◎	
☆	U+2606	A1B8	symbol	$0168	base-exact	base-compatible	☆	
★	U+2605	A1B9	symbol	$0169	base-exact	base-compatible	★	
◇	U+25C7	A1BA	symbol	$016D	base-exact	base-compatible	◇	
◆	U+25C6	A1BB	symbol	$016E	base-exact	base-compatible	◆	
□	U+25A1	A1BC	symbol	$016F	base-exact	base-compatible	□	
■	U+25A0	A1BD	symbol	$0170	base-exact	base-compatible	■	
￣	U+FFE3	A1C3	fullwidth	$023C	base-exact	base-compatible	￣	
＿	U+FF3F	A1C4	fullwidth	$021C	base-exact	base-compatible	＿	
＋	U+FF0B	A1CF	fullwidth	$01E1	base-exact	base-compatible	＋	
－	U+FF0D	A1D0	fullwidth	$01E3	base-exact	base-compatible	－	
÷	U+00F7	A1D2	symbol	$0126	base-exact	base-compatible	÷	
±	U+00B1	A1D3	symbol	$0124	base-exact	base-compatible	±	
√	U+221A	A1D4	symbol	$0130	base-exact	base-compatible	√	
＜	U+FF1C	A1D5	fullwidth	$01F2	base-exact	base-compatible	＜	
＞	U+FF1E	A1D6	fullwidth	$01F4	base-exact	base-compatible	＞	
＝	U+FF1D	A1D7	fullwidth	$01F3	base-exact	base-compatible	＝	
≠	U+2260	A1DA	symbol	$013D	base-exact	base-compatible	≠	
∞	U+221E	A1DB	symbol	$0143	base-exact	base-compatible	∞	
≡	U+2261	A1DD	symbol	$0138	base-exact	base-compatible	≡	
∩	U+2229	A1E4	symbol	$012D	base-exact	base-compatible	∩	
∪	U+222A	A1E5	symbol	$012C	base-exact	base-compatible	∪	
⊥	U+22A5	A1E6	symbol	$0131	base-exact	base-compatible	⊥	
∠	U+2220	A1E7	symbol	$0133	base-exact	base-compatible	∠	
∫	U+222B	A1EC	symbol	$0136	base-exact	base-compatible	∫	
∮	U+222E	A1ED	symbol	$0137	base-exact	base-compatible	∮	
∵	U+2235	A1EE	symbol	$0144	base-exact	base-compatible	∵	
∴	U+2234	A1EF	symbol	$0145	base-exact	base-compatible	∴	
↑	U+2191	A1F4	symbol	$0176	base-exact	base-compatible	↑	
↓	U+2193	A1F5	symbol	$0177	base-exact	base-compatible	↓	
←	U+2190	A1F6	symbol	$0175	base-exact	base-compatible	←	
→	U+2192	A1F7	symbol	$0174	base-exact	base-compatible	→	
∥	U+2225	A1FC	symbol	$0132	base-exact	base-compatible	∥	
／	U+FF0F	A1FE	fullwidth	$01E5	base-exact	base-compatible	／	
＼	U+FF3C	A240	fullwidth	$0219	base-exact	base-compatible	＼	
＄	U+FF04	A243	fullwidth	$0161	base-exact	base-compatible	＄	
％	U+FF05	A248	fullwidth	$01DB	base-exact	base-compatible	％	
＠	U+FF20	A249	fullwidth	$01F6	base-exact	base-compatible	＠	
℃	U+2103	A24A	symbol	$0160	base-exact	base-compatible	℃	
°	U+00B0	A258	symbol	$0148	base-exact	base-compatible	°	
兙	U+5159	A259	cjk	$1401	cjk-extension	extension-page	兙	new/expanded DFS page
兛	U+515B	A25A	cjk	$1402	cjk-extension	extension-page	兛	new/expanded DFS page
兞	U+515E	A25B	cjk	$1403	cjk-extension	extension-page	兞	new/expanded DFS page
兝	U+515D	A25C	cjk	$1404	cjk-extension	extension-page	兝	new/expanded DFS page
兡	U+5161	A25D	cjk	$1405	cjk-extension	extension-page	兡	new/expanded DFS page
兣	U+5163	A25E	cjk	$1406	cjk-extension	extension-page	兣	new/expanded DFS page
嗧	U+55E7	A25F	cjk	$1407	cjk-extension	extension-page	嗧	new/expanded DFS page
瓩	U+74E9	A260	cjk	$1408	cjk-extension	extension-page	瓩	new/expanded DFS page
糎	U+7CCE	A261	cjk	$1409	cjk-extension	extension-page	糎	new/expanded DFS page
┼	U+253C	A271	symbol	$04A4	base-exact	base-compatible	┼	
┴	U+2534	A272	symbol	$049C	base-exact	base-compatible	┴	
┬	U+252C	A273	symbol	$0494	base-exact	base-compatible	┬	
┤	U+2524	A274	symbol	$048C	base-exact	base-compatible	┤	
