char	unicode	big5	category	dfs_code	compat_class	t2s	base_char_at_code	ime_reserved	note
拱	U+62F1	ABFD	cjk	$0898	base-exact	拱	拱	yes	
拷	U+62F7	ABFE	cjk	$0B1C	base-exact	拷	拷	yes	
拯	U+62EF	AC40	cjk	$1894	base-exact	拯	拯	yes	
括	U+62EC	AC41	cjk	$0B7C	base-exact	括	括	yes	
拾	U+62FE	AC42	cjk	$0FA8	base-exact	拾	拾	yes	
拴	U+62F4	AC43	cjk	$1003	base-exact	拴	拴	yes	
挑	U+6311	AC44	cjk	$10C6	base-exact	挑	挑	yes	
挂	U+6302	AC45	cjk	$08BA	base-exact	挂	挂	yes	
政	U+653F	AC46	cjk	$1896	base-exact	政	政	yes	
故	U+6545	AC47	cjk	$08B2	base-exact	故	故	yes	
斫	U+65AB	AC48	cjk	$2A3B	base-exact	斫	斫	yes	
施	U+65BD	AC49	cjk	$0FA1	base-exact	施	施	yes	
既	U+65E2	AC4A	cjk	$09E8	base-exact	既	既	yes	
春	U+6625	AC4B	cjk	$0690	base-exact	春	春	yes	
昭	U+662D	AC4C	cjk	$1869	base-exact	昭	昭	yes	
映	U+6620	AC4D	cjk	$1371	base-exact	映	映	yes	
昧	U+6627	AC4E	cjk	$0CCD	base-exact	昧	昧	yes	
是	U+662F	AC4F	cjk	$0FBF	base-exact	是	是	yes	
星	U+661F	AC50	cjk	$1237	base-exact	星	星	yes	
昨	U+6628	AC51	cjk	$1964	base-exact	昨	昨	yes	
昱	U+6631	AC52	cjk	$2907	base-exact	昱	昱	yes	
曷	U+66F7	AC54	cjk	$2904	base-exact	曷	曷	yes	
柿	U+67FF	AC55	cjk	$0FB9	base-exact	柿	柿	yes	
染	U+67D3	AC56	cjk	$0EDC	base-exact	染	染	yes	
柱	U+67F1	AC57	cjk	$18EF	base-exact	柱	柱	yes	
柔	U+67D4	AC58	cjk	$0F03	base-exact	柔	柔	yes	
某	U+67D0	AC59	cjk	$0D25	base-exact	某	某	yes	
柬	U+67EC	AC5A	cjk	$0A11	base-exact	柬	柬	yes	
架	U+67B6	AC5B	cjk	$09FC	base-exact	架	架	yes	
枯	U+67AF	AC5C	cjk	$0B3D	base-exact	枯	枯	yes	
柵	U+67F5	AC5D	cjk	$1826	base-t2s-ime-glyph-patch	栅	栅	yes	glyph patch 栅->柵
柩	U+67E9	AC5E	cjk	$283D	base-exact	柩	柩	yes	
柯	U+67EF	AC5F	cjk	$0B21	base-exact	柯	柯	yes	
