ext_index	char	unicode	big5	category	t2s	dfs_code	page	low	slot_source	compat_class	note
57	洸	U+6D38	ACA9	cjk	洸	$143E	$14	$3E	extension-page	cjk-extension	new/expanded DFS page
58	洩	U+6D29	ACAA	cjk	泄	$1440	$14	$40	extension-page	cjk-extension	new/expanded DFS page
59	炤	U+70A4	ACB7	cjk	炤	$1441	$14	$41	extension-page	cjk-extension	new/expanded DFS page
60	牴	U+7274	ACBB	cjk	牴	$1442	$14	$42	extension-page	cjk-extension	new/expanded DFS page
61	疢	U+75A2	ACCF	cjk	疢	$1443	$14	$43	extension-page	cjk-extension	new/expanded DFS page
62	盃	U+76C3	ACD7	cjk	杯	$1444	$14	$44	extension-page	cjk-extension	new/expanded DFS page
63	祇	U+7947	ACE9	cjk	祇	$1445	$14	$45	extension-page	cjk-extension	new/expanded DFS page
64	耑	U+8011	AD42	cjk	耑	$1446	$14	$46	extension-page	cjk-extension	new/expanded DFS page
65	觔	U+89D4	AD6F	cjk	觔	$1447	$14	$47	extension-page	cjk-extension	new/expanded DFS page
66	郃	U+90C3	ADA8	cjk	郃	$1448	$14	$48	extension-page	cjk-extension	new/expanded DFS page
67	倣	U+5023	ADC0	cjk	倣	$1449	$14	$49	extension-page	cjk-extension	new/expanded DFS page
68	倖	U+5016	ADC6	cjk	幸	$144A	$14	$4A	extension-page	cjk-extension	new/expanded DFS page
69	堉	U+5809	AE4B	cjk	堉	$1460	$14	$60	extension-page	cjk-extension	new/expanded DFS page
70	屘	U+5C58	AE5E	cjk	屘	$1461	$14	$61	extension-page	cjk-extension	new/expanded DFS page
71	崁	U+5D01	AE72	cjk	崁	$1462	$14	$62	extension-page	cjk-extension	new/expanded DFS page
72	晅	U+6645	AECF	cjk	晅	$1463	$14	$63	extension-page	cjk-extension	new/expanded DFS page
73	栘	U+6818	AEEB	cjk	栘	$1464	$14	$64	extension-page	cjk-extension	new/expanded DFS page
74	氣	U+6C23	AEF0	cjk	气	$1465	$14	$65	extension-page	cjk-extension	new/expanded DFS page
75	浬	U+6D6C	AF40	cjk	浬	$1466	$14	$66	extension-page	cjk-extension	new/expanded DFS page
76	涊	U+6D8A	AF47	cjk	涊	$1467	$14	$67	extension-page	cjk-extension	new/expanded DFS page
77	浥	U+6D65	AF4A	cjk	浥	$1468	$14	$68	extension-page	cjk-extension	new/expanded DFS page
78	玆	U+7386	AF59	cjk	玆	$1469	$14	$69	extension-page	cjk-extension	new/expanded DFS page
79	珮	U+73EE	AF5C	cjk	珮	$146A	$14	$6A	extension-page	cjk-extension	new/expanded DFS page
80	珪	U+73EA	AF5E	cjk	珪	$146B	$14	$6B	extension-page	cjk-extension	new/expanded DFS page
81	砠	U+7820	AFA3	cjk	砠	$146C	$14	$6C	extension-page	cjk-extension	new/expanded DFS page
82	砲	U+7832	AFA5	cjk	砲	$146D	$14	$6D	extension-page	cjk-extension	new/expanded DFS page
