ext_index	char	unicode	big5	category	t2s	dfs_code	page	low	slot_source	compat_class	note
578	阣	U+9623	CA59	cjk	阣	$1699	$16	$99	extension-page	cjk-extension	new/expanded DFS page
579	佖	U+4F56	CA5A	cjk	佖	$169A	$16	$9A	extension-page	cjk-extension	new/expanded DFS page
580	伻	U+4F3B	CA5B	cjk	伻	$169B	$16	$9B	extension-page	cjk-extension	new/expanded DFS page
581	佢	U+4F62	CA5C	cjk	佢	$169C	$16	$9C	extension-page	cjk-extension	new/expanded DFS page
582	佉	U+4F49	CA5D	cjk	佉	$169D	$16	$9D	extension-page	cjk-extension	new/expanded DFS page
583	伾	U+4F3E	CA60	cjk	伾	$169E	$16	$9E	extension-page	cjk-extension	new/expanded DFS page
584	佒	U+4F52	CA62	cjk	佒	$169F	$16	$9F	extension-page	cjk-extension	new/expanded DFS page
585	佁	U+4F41	CA64	cjk	佁	$16A0	$16	$A0	extension-page	cjk-extension	new/expanded DFS page
586	伭	U+4F2D	CA66	cjk	伭	$16A1	$16	$A1	extension-page	cjk-extension	new/expanded DFS page
587	伳	U+4F33	CA67	cjk	伳	$16A2	$16	$A2	extension-page	cjk-extension	new/expanded DFS page
588	伿	U+4F3F	CA68	cjk	伿	$16A3	$16	$A3	extension-page	cjk-extension	new/expanded DFS page
589	佡	U+4F61	CA69	cjk	佡	$16A4	$16	$A4	extension-page	cjk-extension	new/expanded DFS page
590	冏	U+518F	CA6A	cjk	冏	$16A5	$16	$A5	extension-page	cjk-extension	new/expanded DFS page
591	冹	U+51B9	CA6B	cjk	冹	$16A6	$16	$A6	extension-page	cjk-extension	new/expanded DFS page
592	刜	U+521C	CA6C	cjk	刜	$16A7	$16	$A7	extension-page	cjk-extension	new/expanded DFS page
593	刞	U+521E	CA6D	cjk	刞	$16A8	$16	$A8	extension-page	cjk-extension	new/expanded DFS page
594	刡	U+5221	CA6E	cjk	刡	$16A9	$16	$A9	extension-page	cjk-extension	new/expanded DFS page
595	劮	U+52AE	CA70	cjk	劮	$16AA	$16	$AA	extension-page	cjk-extension	new/expanded DFS page
596	匉	U+5309	CA71	cjk	匉	$16AB	$16	$AB	extension-page	cjk-extension	new/expanded DFS page
597	卲	U+5372	CA73	cjk	卲	$16AC	$16	$AC	extension-page	cjk-extension	new/expanded DFS page
598	厎	U+538E	CA74	cjk	厎	$16AD	$16	$AD	extension-page	cjk-extension	new/expanded DFS page
599	厏	U+538F	CA75	cjk	厏	$16AE	$16	$AE	extension-page	cjk-extension	new/expanded DFS page
600	吰	U+5430	CA76	cjk	吰	$16AF	$16	$AF	extension-page	cjk-extension	new/expanded DFS page
601	吷	U+5437	CA77	cjk	吷	$16B0	$16	$B0	extension-page	cjk-extension	new/expanded DFS page
602	吪	U+542A	CA78	cjk	吪	$16B1	$16	$B1	extension-page	cjk-extension	new/expanded DFS page
603	呅	U+5445	CA7A	cjk	呅	$16B2	$16	$B2	extension-page	cjk-extension	new/expanded DFS page
604	吙	U+5419	CA7B	cjk	吙	$16B3	$16	$B3	extension-page	cjk-extension	new/expanded DFS page
605	吜	U+541C	CA7C	cjk	吜	$16B4	$16	$B4	extension-page	cjk-extension	new/expanded DFS page
606	吥	U+5425	CA7D	cjk	吥	$16B5	$16	$B5	extension-page	cjk-extension	new/expanded DFS page
607	吘	U+5418	CA7E	cjk	吘	$16B6	$16	$B6	extension-page	cjk-extension	new/expanded DFS page
608	吽	U+543D	CAA1	cjk	吽	$16B7	$16	$B7	extension-page	cjk-extension	new/expanded DFS page
609	呏	U+544F	CAA2	cjk	呏	$16B8	$16	$B8	extension-page	cjk-extension	new/expanded DFS page
610	呁	U+5441	CAA3	cjk	呁	$16B9	$16	$B9	extension-page	cjk-extension	new/expanded DFS page
611	吤	U+5424	CAA5	cjk	吤	$16BA	$16	$BA	extension-page	cjk-extension	new/expanded DFS page
612	呇	U+5447	CAA6	cjk	呇	$16BB	$16	$BB	extension-page	cjk-extension	new/expanded DFS page
613	囮	U+56EE	CAA7	cjk	囮	$16BC	$16	$BC	extension-page	cjk-extension	new/expanded DFS page
614	囧	U+56E7	CAA8	cjk	囧	$16BD	$16	$BD	extension-page	cjk-extension	new/expanded DFS page
615	囥	U+56E5	CAA9	cjk	囥	$16BE	$16	$BE	extension-page	cjk-extension	new/expanded DFS page
616	坁	U+5741	CAAA	cjk	坁	$16BF	$16	$BF	extension-page	cjk-extension	new/expanded DFS page
617	坅	U+5745	CAAB	cjk	坅	$16C0	$16	$C0	extension-page	cjk-extension	new/expanded DFS page
618	坉	U+5749	CAAD	cjk	坉	$16C1	$16	$C1	extension-page	cjk-extension	new/expanded DFS page
619	坋	U+574B	CAAE	cjk	坋	$16C2	$16	$C2	extension-page	cjk-extension	new/expanded DFS page
620	坒	U+5752	CAAF	cjk	坒	$16C3	$16	$C3	extension-page	cjk-extension	new/expanded DFS page
621	夆	U+5906	CAB0	cjk	夆	$16C4	$16	$C4	extension-page	cjk-extension	new/expanded DFS page
622	奀	U+5940	CAB1	cjk	奀	$16C5	$16	$C5	extension-page	cjk-extension	new/expanded DFS page
623	妦	U+59A6	CAB2	cjk	妦	$16C6	$16	$C6	extension-page	cjk-extension	new/expanded DFS page
624	妘	U+5998	CAB3	cjk	妘	$16C7	$16	$C7	extension-page	cjk-extension	new/expanded DFS page
625	妠	U+59A0	CAB4	cjk	妠	$16C8	$16	$C8	extension-page	cjk-extension	new/expanded DFS page
626	妎	U+598E	CAB6	cjk	妎	$16C9	$16	$C9	extension-page	cjk-extension	new/expanded DFS page
627	妢	U+59A2	CAB7	cjk	妢	$16CA	$16	$CA	extension-page	cjk-extension	new/expanded DFS page
628	妐	U+5990	CAB8	cjk	妐	$16CB	$16	$CB	extension-page	cjk-extension	new/expanded DFS page
629	妏	U+598F	CAB9	cjk	妏	$16CC	$16	$CC	extension-page	cjk-extension	new/expanded DFS page
630	妧	U+59A7	CABA	cjk	妧	$16CD	$16	$CD	extension-page	cjk-extension	new/expanded DFS page
631	妡	U+59A1	CABB	cjk	妡	$16CE	$16	$CE	extension-page	cjk-extension	new/expanded DFS page
632	宎	U+5B8E	CABC	cjk	宎	$16CF	$16	$CF	extension-page	cjk-extension	new/expanded DFS page
633	宒	U+5B92	CABD	cjk	宒	$16D0	$16	$D0	extension-page	cjk-extension	new/expanded DFS page
634	尨	U+5C28	CABE	cjk	尨	$16D1	$16	$D1	extension-page	cjk-extension	new/expanded DFS page
635	尪	U+5C2A	CABF	cjk	尪	$16D2	$16	$D2	extension-page	cjk-extension	new/expanded DFS page
636	岏	U+5C8F	CAC1	cjk	岏	$16D3	$16	$D3	extension-page	cjk-extension	new/expanded DFS page
637	岋	U+5C8B	CAC3	cjk	岋	$16D4	$16	$D4	extension-page	cjk-extension	new/expanded DFS page
638	岉	U+5C89	CAC4	cjk	岉	$16D5	$16	$D5	extension-page	cjk-extension	new/expanded DFS page
639	岒	U+5C92	CAC5	cjk	岒	$16D6	$16	$D6	extension-page	cjk-extension	new/expanded DFS page
640	岊	U+5C8A	CAC6	cjk	岊	$16D7	$16	$D7	extension-page	cjk-extension	new/expanded DFS page
641	岆	U+5C86	CAC7	cjk	岆	$16D8	$16	$D8	extension-page	cjk-extension	new/expanded DFS page
642	岓	U+5C93	CAC8	cjk	岓	$16D9	$16	$D9	extension-page	cjk-extension	new/expanded DFS page
643	岕	U+5C95	CAC9	cjk	岕	$16DA	$16	$DA	extension-page	cjk-extension	new/expanded DFS page
644	巠	U+5DE0	CACA	cjk	巠	$16DB	$16	$DB	extension-page	cjk-extension	new/expanded DFS page
645	帊	U+5E0A	CACB	cjk	帊	$16DC	$16	$DC	extension-page	cjk-extension	new/expanded DFS page
646	帎	U+5E0E	CACC	cjk	帎	$16DD	$16	$DD	extension-page	cjk-extension	new/expanded DFS page
647	庉	U+5E89	CACE	cjk	庉	$16DE	$16	$DE	extension-page	cjk-extension	new/expanded DFS page
648	庌	U+5E8C	CACF	cjk	庌	$16DF	$16	$DF	extension-page	cjk-extension	new/expanded DFS page
649	庈	U+5E88	CAD0	cjk	庈	$16E0	$16	$E0	extension-page	cjk-extension	new/expanded DFS page
650	庍	U+5E8D	CAD1	cjk	庍	$16E1	$16	$E1	extension-page	cjk-extension	new/expanded DFS page
651	弅	U+5F05	CAD2	cjk	弅	$16E2	$16	$E2	extension-page	cjk-extension	new/expanded DFS page
652	弝	U+5F1D	CAD3	cjk	弝	$16E3	$16	$E3	extension-page	cjk-extension	new/expanded DFS page
653	彸	U+5F78	CAD4	cjk	彸	$16E4	$16	$E4	extension-page	cjk-extension	new/expanded DFS page
654	彶	U+5F76	CAD5	cjk	彶	$16E5	$16	$E5	extension-page	cjk-extension	new/expanded DFS page
655	忨	U+5FE8	CADA	cjk	忨	$16E6	$16	$E6	extension-page	cjk-extension	new/expanded DFS page
656	忳	U+5FF3	CADC	cjk	忳	$16E7	$16	$E7	extension-page	cjk-extension	new/expanded DFS page
657	忣	U+5FE3	CADF	cjk	忣	$16E8	$16	$E8	extension-page	cjk-extension	new/expanded DFS page
658	忺	U+5FFA	CAE0	cjk	忺	$16E9	$16	$E9	extension-page	cjk-extension	new/expanded DFS page
659	忯	U+5FEF	CAE1	cjk	忯	$16EA	$16	$EA	extension-page	cjk-extension	new/expanded DFS page
660	忷	U+5FF7	CAE2	cjk	忷	$16EB	$16	$EB	extension-page	cjk-extension	new/expanded DFS page
661	忴	U+5FF4	CAE5	cjk	忴	$16EC	$16	$EC	extension-page	cjk-extension	new/expanded DFS page
662	戺	U+623A	CAE6	cjk	戺	$16ED	$16	$ED	extension-page	cjk-extension	new/expanded DFS page
663	抃	U+6283	CAE7	cjk	抃	$16EE	$16	$EE	extension-page	cjk-extension	new/expanded DFS page
664	抌	U+628C	CAE8	cjk	抌	$16EF	$16	$EF	extension-page	cjk-extension	new/expanded DFS page
665	抎	U+628E	CAE9	cjk	抎	$16F0	$16	$F0	extension-page	cjk-extension	new/expanded DFS page
666	抏	U+628F	CAEA	cjk	抏	$16F1	$16	$F1	extension-page	cjk-extension	new/expanded DFS page
667	抔	U+6294	CAEB	cjk	抔	$16F2	$16	$F2	extension-page	cjk-extension	new/expanded DFS page
668	抇	U+6287	CAEC	cjk	抇	$16F3	$16	$F3	extension-page	cjk-extension	new/expanded DFS page
669	扱	U+6271	CAED	cjk	扱	$16F4	$16	$F4	extension-page	cjk-extension	new/expanded DFS page
670	扻	U+627B	CAEE	cjk	扻	$16F5	$16	$F5	extension-page	cjk-extension	new/expanded DFS page
671	扺	U+627A	CAEF	cjk	扺	$16F6	$16	$F6	extension-page	cjk-extension	new/expanded DFS page
672	抁	U+6281	CAF1	cjk	抁	$16F7	$16	$F7	extension-page	cjk-extension	new/expanded DFS page
673	抈	U+6288	CAF2	cjk	抈	$16F8	$16	$F8	extension-page	cjk-extension	new/expanded DFS page
674	扷	U+6277	CAF3	cjk	扷	$16F9	$16	$F9	extension-page	cjk-extension	new/expanded DFS page
675	扽	U+627D	CAF4	cjk	扽	$16FA	$16	$FA	extension-page	cjk-extension	new/expanded DFS page
676	扲	U+6272	CAF5	cjk	扲	$16FB	$16	$FB	extension-page	cjk-extension	new/expanded DFS page
677	扴	U+6274	CAF6	cjk	扴	$16FC	$16	$FC	extension-page	cjk-extension	new/expanded DFS page
678	攷	U+6537	CAF7	cjk	攷	$1701	$17	$01	extension-page	cjk-extension	new/expanded DFS page
679	旴	U+65F4	CAF9	cjk	旴	$1702	$17	$02	extension-page	cjk-extension	new/expanded DFS page
680	旳	U+65F3	CAFA	cjk	旳	$1703	$17	$03	extension-page	cjk-extension	new/expanded DFS page
681	旲	U+65F2	CAFB	cjk	旲	$1704	$17	$04	extension-page	cjk-extension	new/expanded DFS page
682	旵	U+65F5	CAFC	cjk	旵	$1705	$17	$05	extension-page	cjk-extension	new/expanded DFS page
683	杅	U+6745	CAFD	cjk	杅	$1706	$17	$06	extension-page	cjk-extension	new/expanded DFS page
684	杇	U+6747	CAFE	cjk	杇	$1707	$17	$07	extension-page	cjk-extension	new/expanded DFS page
685	杙	U+6759	CB40	cjk	杙	$1708	$17	$08	extension-page	cjk-extension	new/expanded DFS page
686	杕	U+6755	CB41	cjk	杕	$1709	$17	$09	extension-page	cjk-extension	new/expanded DFS page
687	杝	U+675D	CB44	cjk	杝	$170A	$17	$0A	extension-page	cjk-extension	new/expanded DFS page
688	杍	U+674D	CB45	cjk	杍	$170B	$17	$0B	extension-page	cjk-extension	new/expanded DFS page
689	杚	U+675A	CB46	cjk	杚	$170C	$17	$0C	extension-page	cjk-extension	new/expanded DFS page
690	杋	U+674B	CB47	cjk	杋	$170D	$17	$0D	extension-page	cjk-extension	new/expanded DFS page
691	毐	U+6BD0	CB48	cjk	毐	$170E	$17	$0E	extension-page	cjk-extension	new/expanded DFS page
692	汸	U+6C78	CB4B	cjk	汸	$170F	$17	$0F	extension-page	cjk-extension	new/expanded DFS page
693	汧	U+6C67	CB4C	cjk	汧	$1710	$17	$10	extension-page	cjk-extension	new/expanded DFS page
694	汫	U+6C6B	CB4D	cjk	汫	$1711	$17	$11	extension-page	cjk-extension	new/expanded DFS page
695	沄	U+6C84	CB4E	cjk	沄	$1712	$17	$12	extension-page	cjk-extension	new/expanded DFS page
696	沋	U+6C8B	CB4F	cjk	沋	$1713	$17	$13	extension-page	cjk-extension	new/expanded DFS page
697	汱	U+6C71	CB51	cjk	汱	$1717	$17	$17	extension-page	cjk-extension	new/expanded DFS page
698	汯	U+6C6F	CB52	cjk	汯	$1718	$17	$18	extension-page	cjk-extension	new/expanded DFS page
699	沚	U+6C9A	CB54	cjk	沚	$1719	$17	$19	extension-page	cjk-extension	new/expanded DFS page
700	汭	U+6C6D	CB55	cjk	汭	$171A	$17	$1A	extension-page	cjk-extension	new/expanded DFS page
701	沇	U+6C87	CB56	cjk	沇	$171B	$17	$1B	extension-page	cjk-extension	new/expanded DFS page
702	沕	U+6C95	CB57	cjk	沕	$171C	$17	$1C	extension-page	cjk-extension	new/expanded DFS page
703	沜	U+6C9C	CB58	cjk	沜	$171D	$17	$1D	extension-page	cjk-extension	new/expanded DFS page
704	汦	U+6C66	CB59	cjk	汦	$171E	$17	$1E	extension-page	cjk-extension	new/expanded DFS page
705	汳	U+6C73	CB5A	cjk	汳	$171F	$17	$1F	extension-page	cjk-extension	new/expanded DFS page
706	汥	U+6C65	CB5B	cjk	汥	$1720	$17	$20	extension-page	cjk-extension	new/expanded DFS page
707	汻	U+6C7B	CB5C	cjk	汻	$1721	$17	$21	extension-page	cjk-extension	new/expanded DFS page
708	沎	U+6C8E	CB5D	cjk	沎	$1723	$17	$23	extension-page	cjk-extension	new/expanded DFS page
709	灴	U+7074	CB5E	cjk	灴	$1724	$17	$24	extension-page	cjk-extension	new/expanded DFS page
710	灺	U+707A	CB5F	cjk	灺	$1725	$17	$25	extension-page	cjk-extension	new/expanded DFS page
711	牣	U+7263	CB60	cjk	牣	$1726	$17	$26	extension-page	cjk-extension	new/expanded DFS page
712	犿	U+72BF	CB61	cjk	犿	$1727	$17	$27	extension-page	cjk-extension	new/expanded DFS page
713	犽	U+72BD	CB62	cjk	犽	$1728	$17	$28	extension-page	cjk-extension	new/expanded DFS page
714	狆	U+72C6	CB64	cjk	狆	$1729	$17	$29	extension-page	cjk-extension	new/expanded DFS page
715	犺	U+72BA	CB66	cjk	犺	$172A	$17	$2A	extension-page	cjk-extension	new/expanded DFS page
716	狅	U+72C5	CB67	cjk	狅	$172B	$17	$2B	extension-page	cjk-extension	new/expanded DFS page
717	玕	U+7395	CB68	cjk	玕	$172C	$17	$2C	extension-page	cjk-extension	new/expanded DFS page
718	玗	U+7397	CB69	cjk	玗	$172D	$17	$2D	extension-page	cjk-extension	new/expanded DFS page
719	玓	U+7393	CB6A	cjk	玓	$172E	$17	$2E	extension-page	cjk-extension	new/expanded DFS page
720	玔	U+7394	CB6B	cjk	玔	$172F	$17	$2F	extension-page	cjk-extension	new/expanded DFS page
721	玒	U+7392	CB6C	cjk	玒	$1730	$17	$30	extension-page	cjk-extension	new/expanded DFS page
722	甹	U+7539	CB6E	cjk	甹	$1731	$17	$31	extension-page	cjk-extension	new/expanded DFS page
723	疕	U+7595	CB70	cjk	疕	$1732	$17	$32	extension-page	cjk-extension	new/expanded DFS page
724	皁	U+7681	CB71	cjk	皂	$1733	$17	$33	extension-page	cjk-extension	new/expanded DFS page
725	礽	U+793D	CB72	cjk	礽	$1734	$17	$34	extension-page	cjk-extension	new/expanded DFS page
726	耴	U+8034	CB73	cjk	耴	$1735	$17	$35	extension-page	cjk-extension	new/expanded DFS page
727	肕	U+8095	CB74	cjk	肕	$1736	$17	$36	extension-page	cjk-extension	new/expanded DFS page
728	肙	U+8099	CB75	cjk	肙	$1737	$17	$37	extension-page	cjk-extension	new/expanded DFS page
729	肐	U+8090	CB76	cjk	肐	$1738	$17	$38	extension-page	cjk-extension	new/expanded DFS page
730	肒	U+8092	CB77	cjk	肒	$1739	$17	$39	extension-page	cjk-extension	new/expanded DFS page
731	芐	U+8290	CB79	cjk	芐	$173A	$17	$3A	extension-page	cjk-extension	new/expanded DFS page
732	芅	U+8285	CB7B	cjk	芅	$173B	$17	$3B	extension-page	cjk-extension	new/expanded DFS page
733	芓	U+8293	CB7E	cjk	芓	$173C	$17	$3C	extension-page	cjk-extension	new/expanded DFS page
734	芃	U+8283	CBA2	cjk	芃	$173D	$17	$3D	extension-page	cjk-extension	new/expanded DFS page
735	迉	U+8FC9	CBA5	cjk	迉	$173E	$17	$3E	extension-page	cjk-extension	new/expanded DFS page
736	辿	U+8FBF	CBA6	cjk	辿	$1740	$17	$40	extension-page	cjk-extension	new/expanded DFS page
737	邟	U+909F	CBA7	cjk	邟	$1741	$17	$41	extension-page	cjk-extension	new/expanded DFS page
738	邥	U+90A5	CBA9	cjk	邥	$1742	$17	$42	extension-page	cjk-extension	new/expanded DFS page
739	邞	U+909E	CBAA	cjk	邞	$1743	$17	$43	extension-page	cjk-extension	new/expanded DFS page
740	邧	U+90A7	CBAB	cjk	邧	$1744	$17	$44	extension-page	cjk-extension	new/expanded DFS page
741	邠	U+90A0	CBAC	cjk	邠	$1745	$17	$45	extension-page	cjk-extension	new/expanded DFS page
742	阰	U+9630	CBAD	cjk	阰	$1746	$17	$46	extension-page	cjk-extension	new/expanded DFS page
743	阨	U+9628	CBAE	cjk	阨	$1747	$17	$47	extension-page	cjk-extension	new/expanded DFS page
744	阯	U+962F	CBAF	cjk	阯	$1748	$17	$48	extension-page	cjk-extension	new/expanded DFS page
745	阭	U+962D	CBB0	cjk	阭	$1749	$17	$49	extension-page	cjk-extension	new/expanded DFS page
746	丳	U+4E33	CBB1	cjk	丳	$174A	$17	$4A	extension-page	cjk-extension	new/expanded DFS page
747	侘	U+4F98	CBB2	cjk	侘	$1760	$17	$60	extension-page	cjk-extension	new/expanded DFS page
748	侅	U+4F85	CBB4	cjk	侅	$1761	$17	$61	extension-page	cjk-extension	new/expanded DFS page
749	佽	U+4F7D	CBB5	cjk	佽	$1762	$17	$62	extension-page	cjk-extension	new/expanded DFS page
750	侀	U+4F80	CBB6	cjk	侀	$1763	$17	$63	extension-page	cjk-extension	new/expanded DFS page
751	侇	U+4F87	CBB7	cjk	侇	$1764	$17	$64	extension-page	cjk-extension	new/expanded DFS page
752	佷	U+4F77	CBBC	cjk	佷	$1765	$17	$65	extension-page	cjk-extension	new/expanded DFS page
753	佌	U+4F4C	CBBD	cjk	佌	$1766	$17	$66	extension-page	cjk-extension	new/expanded DFS page
754	佪	U+4F6A	CBBF	cjk	佪	$1767	$17	$67	extension-page	cjk-extension	new/expanded DFS page
755	侚	U+4F9A	CBC0	cjk	侚	$1768	$17	$68	extension-page	cjk-extension	new/expanded DFS page
756	佹	U+4F79	CBC1	cjk	佹	$1769	$17	$69	extension-page	cjk-extension	new/expanded DFS page
757	侁	U+4F81	CBC2	cjk	侁	$176A	$17	$6A	extension-page	cjk-extension	new/expanded DFS page
758	佸	U+4F78	CBC3	cjk	佸	$176B	$17	$6B	extension-page	cjk-extension	new/expanded DFS page
759	侐	U+4F90	CBC4	cjk	侐	$176C	$17	$6C	extension-page	cjk-extension	new/expanded DFS page
760	侜	U+4F9C	CBC5	cjk	侜	$176D	$17	$6D	extension-page	cjk-extension	new/expanded DFS page
761	侞	U+4F9E	CBC7	cjk	侞	$176E	$17	$6E	extension-page	cjk-extension	new/expanded DFS page
762	侒	U+4F92	CBC8	cjk	侒	$176F	$17	$6F	extension-page	cjk-extension	new/expanded DFS page
763	侂	U+4F82	CBC9	cjk	侂	$1770	$17	$70	extension-page	cjk-extension	new/expanded DFS page
764	侕	U+4F95	CBCA	cjk	侕	$1771	$17	$71	extension-page	cjk-extension	new/expanded DFS page
765	佫	U+4F6B	CBCB	cjk	佫	$1772	$17	$72	extension-page	cjk-extension	new/expanded DFS page
766	佮	U+4F6E	CBCC	cjk	佮	$1773	$17	$73	extension-page	cjk-extension	new/expanded DFS page
767	冞	U+519E	CBCD	cjk	冞	$1774	$17	$74	extension-page	cjk-extension	new/expanded DFS page
768	冾	U+51BE	CBCF	cjk	冾	$1775	$17	$75	extension-page	cjk-extension	new/expanded DFS page
769	刵	U+5235	CBD0	cjk	刵	$1776	$17	$76	extension-page	cjk-extension	new/expanded DFS page
770	刲	U+5232	CBD1	cjk	刲	$1777	$17	$77	extension-page	cjk-extension	new/expanded DFS page
771	剆	U+5246	CBD3	cjk	剆	$1778	$17	$78	extension-page	cjk-extension	new/expanded DFS page
772	刱	U+5231	CBD4	cjk	刱	$1779	$17	$79	extension-page	cjk-extension	new/expanded DFS page
773	劼	U+52BC	CBD5	cjk	劼	$177A	$17	$7A	extension-page	cjk-extension	new/expanded DFS page
774	匊	U+530A	CBD6	cjk	匊	$177B	$17	$7B	extension-page	cjk-extension	new/expanded DFS page
775	匋	U+530B	CBD7	cjk	匋	$177C	$17	$7C	extension-page	cjk-extension	new/expanded DFS page
776	匼	U+533C	CBD8	cjk	匼	$177D	$17	$7D	extension-page	cjk-extension	new/expanded DFS page
777	厒	U+5392	CBD9	cjk	厒	$177E	$17	$7E	extension-page	cjk-extension	new/expanded DFS page
778	厔	U+5394	CBDA	cjk	厔	$177F	$17	$7F	extension-page	cjk-extension	new/expanded DFS page
779	咇	U+5487	CBDB	cjk	咇	$1780	$17	$80	extension-page	cjk-extension	new/expanded DFS page
780	呿	U+547F	CBDC	cjk	呿	$1781	$17	$81	extension-page	cjk-extension	new/expanded DFS page
781	咁	U+5481	CBDD	cjk	咁	$1782	$17	$82	extension-page	cjk-extension	new/expanded DFS page
782	咑	U+5491	CBDE	cjk	咑	$1783	$17	$83	extension-page	cjk-extension	new/expanded DFS page
783	咈	U+5488	CBE0	cjk	咈	$1784	$17	$84	extension-page	cjk-extension	new/expanded DFS page
784	呫	U+546B	CBE1	cjk	呫	$1785	$17	$85	extension-page	cjk-extension	new/expanded DFS page
785	呺	U+547A	CBE2	cjk	呺	$1786	$17	$86	extension-page	cjk-extension	new/expanded DFS page
786	呾	U+547E	CBE3	cjk	呾	$1787	$17	$87	extension-page	cjk-extension	new/expanded DFS page
787	呥	U+5465	CBE4	cjk	呥	$1788	$17	$88	extension-page	cjk-extension	new/expanded DFS page
788	呬	U+546C	CBE5	cjk	呬	$1789	$17	$89	extension-page	cjk-extension	new/expanded DFS page
789	呴	U+5474	CBE6	cjk	呴	$178A	$17	$8A	extension-page	cjk-extension	new/expanded DFS page
790	咍	U+548D	CBE8	cjk	咍	$178B	$17	$8B	extension-page	cjk-extension	new/expanded DFS page
791	呯	U+546F	CBE9	cjk	呯	$178C	$17	$8C	extension-page	cjk-extension	new/expanded DFS page
792	呡	U+5461	CBEA	cjk	呡	$178D	$17	$8D	extension-page	cjk-extension	new/expanded DFS page
793	呠	U+5460	CBEB	cjk	呠	$178E	$17	$8E	extension-page	cjk-extension	new/expanded DFS page
794	咘	U+5498	CBEC	cjk	咘	$178F	$17	$8F	extension-page	cjk-extension	new/expanded DFS page
795	呣	U+5463	CBED	cjk	呣	$1790	$17	$90	extension-page	cjk-extension	new/expanded DFS page
796	呧	U+5467	CBEE	cjk	呧	$1791	$17	$91	extension-page	cjk-extension	new/expanded DFS page
797	囷	U+56F7	CBF0	cjk	囷	$1792	$17	$92	extension-page	cjk-extension	new/expanded DFS page
798	坲	U+5772	CBF3	cjk	坲	$1793	$17	$93	extension-page	cjk-extension	new/expanded DFS page
799	坱	U+5771	CBF6	cjk	坱	$1794	$17	$94	extension-page	cjk-extension	new/expanded DFS page
800	坰	U+5770	CBF7	cjk	坰	$1795	$17	$95	extension-page	cjk-extension	new/expanded DFS page
801	垀	U+5780	CBF9	cjk	垀	$1796	$17	$96	extension-page	cjk-extension	new/expanded DFS page
802	坵	U+5775	CBFA	cjk	坵	$1797	$17	$97	extension-page	cjk-extension	new/expanded DFS page
803	坴	U+5774	CBFD	cjk	坴	$1798	$17	$98	extension-page	cjk-extension	new/expanded DFS page
804	坢	U+5762	CBFE	cjk	坢	$1799	$17	$99	extension-page	cjk-extension	new/expanded DFS page
805	坽	U+577D	CC41	cjk	坽	$179A	$17	$9A	extension-page	cjk-extension	new/expanded DFS page
806	夌	U+590C	CC42	cjk	夌	$179B	$17	$9B	extension-page	cjk-extension	new/expanded DFS page
807	奅	U+5945	CC43	cjk	奅	$179C	$17	$9C	extension-page	cjk-extension	new/expanded DFS page
808	妵	U+59B5	CC44	cjk	妵	$179D	$17	$9D	extension-page	cjk-extension	new/expanded DFS page
809	妺	U+59BA	CC45	cjk	妺	$179E	$17	$9E	extension-page	cjk-extension	new/expanded DFS page
810	姏	U+59CF	CC46	cjk	姏	$179F	$17	$9F	extension-page	cjk-extension	new/expanded DFS page
811	姎	U+59CE	CC47	cjk	姎	$17A0	$17	$A0	extension-page	cjk-extension	new/expanded DFS page
812	姌	U+59CC	CC49	cjk	姌	$17A1	$17	$A1	extension-page	cjk-extension	new/expanded DFS page
813	姁	U+59C1	CC4A	cjk	姁	$17A2	$17	$A2	extension-page	cjk-extension	new/expanded DFS page
814	妶	U+59B6	CC4B	cjk	妶	$17A3	$17	$A3	extension-page	cjk-extension	new/expanded DFS page
815	妼	U+59BC	CC4C	cjk	妼	$17A4	$17	$A4	extension-page	cjk-extension	new/expanded DFS page
816	姃	U+59C3	CC4D	cjk	姃	$17A5	$17	$A5	extension-page	cjk-extension	new/expanded DFS page
817	姖	U+59D6	CC4E	cjk	姖	$17A6	$17	$A6	extension-page	cjk-extension	new/expanded DFS page
818	妱	U+59B1	CC4F	cjk	妱	$17A7	$17	$A7	extension-page	cjk-extension	new/expanded DFS page
819	妽	U+59BD	CC50	cjk	妽	$17A8	$17	$A8	extension-page	cjk-extension	new/expanded DFS page
820	姀	U+59C0	CC51	cjk	姀	$17A9	$17	$A9	extension-page	cjk-extension	new/expanded DFS page
821	姈	U+59C8	CC52	cjk	姈	$17AA	$17	$AA	extension-page	cjk-extension	new/expanded DFS page
822	妴	U+59B4	CC53	cjk	妴	$17AB	$17	$AB	extension-page	cjk-extension	new/expanded DFS page
823	姇	U+59C7	CC54	cjk	姇	$17AC	$17	$AC	extension-page	cjk-extension	new/expanded DFS page
824	屄	U+5C44	CC59	cjk	屄	$17AD	$17	$AD	extension-page	cjk-extension	new/expanded DFS page
825	屇	U+5C47	CC5A	cjk	屇	$17AE	$17	$AE	extension-page	cjk-extension	new/expanded DFS page
826	岮	U+5CAE	CC5B	cjk	岮	$17AF	$17	$AF	extension-page	cjk-extension	new/expanded DFS page
827	岤	U+5CA4	CC5C	cjk	岤	$17B0	$17	$B0	extension-page	cjk-extension	new/expanded DFS page
828	岠	U+5CA0	CC5D	cjk	岠	$17B1	$17	$B1	extension-page	cjk-extension	new/expanded DFS page
